url,size,new,idx,pathfile
http://www.huffingtonpost.com/news/bridgegate/3/ads/zone/ads/zone/,168043.0,3.0,7675.0,new_3/7675.html
http://www.huffingtonpost.com/news/bridgegate/3/ads/zone/topnav/version/,168061.0,3.0,7676.0,new_3/7676.html
http://www.huffingtonpost.com/news/bridgegate/3/ads/zone/cookie/domain/,168057.0,3.0,7677.0,new_3/7677.html
http://www.huffingtonpost.com/news/bridgegate/3/ads/zone/websocket/enabled/,168069.0,3.0,7678.0,new_3/7678.html
http://www.huffingtonpost.com/news/bridgegate/3/ads/zone/websocket/url/,168058.0,3.0,7679.0,new_3/7679.html
http://www.huffingtonpost.com/news/bridgegate/3/ads/zone/websocket/init/,168060.0,3.0,7680.0,new_3/7680.html
http://www.huffingtonpost.com/news/bridgegate/3/ads/zone/vertical/bignews/,168066.0,3.0,7681.0,new_3/7681.html
http://www.huffingtonpost.com/news/bridgegate/3/topnav/version/ads/zone/,168061.0,3.0,7691.0,new_3/7691.html
http://www.huffingtonpost.com/news/bridgegate/3/cookie/domain/ads/zone/,168058.0,3.0,7707.0,new_3/7707.html
http://www.huffingtonpost.com/news/bridgegate/3/websocket/enabled/ads/zone/,168000.0,3.0,7723.0,new_3/7723.html
http://www.huffingtonpost.com/news/bridgegate/3/websocket/url/ads/zone/,167986.0,3.0,7739.0,new_3/7739.html
http://www.huffingtonpost.com/news/bridgegate/3/websocket/init/ads/zone/,167990.0,3.0,7755.0,new_3/7755.html
http://www.huffingtonpost.com/news/bridgegate/3/vertical/bignews/ads/zone/,167995.0,3.0,7771.0,new_3/7771.html
http://www.huffingtonpost.com/news/bridgegate/4/front/quickread/ads/zone/,166509.0,3.0,7786.0,new_3/7786.html
http://www.huffingtonpost.com/news/bridgegate/4/front/bignews/ads/zone/,166503.0,3.0,7802.0,new_3/7802.html
http://www.huffingtonpost.com/news/bridgegate/4/bpage/threeup/ads/zone/,166503.0,3.0,7818.0,new_3/7818.html
http://www.huffingtonpost.com/news/bridgegate/4/topnav/load-start/ads/zone/,166516.0,3.0,7835.0,new_3/7835.html
http://www.huffingtonpost.com/news/bridgegate/4/topnav/loaded/ads/zone/,166503.0,3.0,7851.0,new_3/7851.html
http://www.huffingtonpost.com/news/bridgegate/4/content/update/ads/zone/,166520.0,3.0,8246.0,new_3/8246.html
http://www.huffingtonpost.com/news/bridgegate/4/ads/zone/front/quickread/,166522.0,3.0,8253.0,new_3/8253.html
http://www.huffingtonpost.com/news/bridgegate/4/ads/zone/front/bignews/,166517.0,3.0,8254.0,new_3/8254.html
http://www.huffingtonpost.com/news/bridgegate/4/ads/zone/bpage/threeup/,166516.0,3.0,8255.0,new_3/8255.html
http://www.huffingtonpost.com/news/bridgegate/4/ads/zone/huffpost.general,166522.0,3.0,8256.0,new_3/8256.html
http://www.huffingtonpost.com/news/bridgegate/4/ads/zone/us.hpmgother,166511.0,3.0,8258.0,new_3/8258.html
http://www.huffingtonpost.com/news/bridgegate/4/ads/zone/topnav/load-start/,166528.0,3.0,8259.0,new_3/8259.html
http://www.huffingtonpost.com/news/bridgegate/4/ads/zone/topnav/loaded/,166515.0,3.0,8260.0,new_3/8260.html
http://www.huffingtonpost.com/news/bridgegate/4/ads/zone/content/update/,166520.0,3.0,8261.0,new_3/8261.html
http://www.huffingtonpost.com/news/bridgegate/4/ads/zone/ads/zone/,166502.0,3.0,8262.0,new_3/8262.html
http://www.huffingtonpost.com/news/bridgegate/4/ads/zone/topnav/version/,166519.0,3.0,8263.0,new_3/8263.html
http://www.huffingtonpost.com/news/bridgegate/4/ads/zone/cookie/domain/,166515.0,3.0,8264.0,new_3/8264.html
http://www.huffingtonpost.com/news/bridgegate/4/ads/zone/websocket/enabled/,166529.0,3.0,8265.0,new_3/8265.html
http://www.huffingtonpost.com/news/bridgegate/4/ads/zone/websocket/url/,166516.0,3.0,8266.0,new_3/8266.html
http://www.huffingtonpost.com/news/bridgegate/4/ads/zone/websocket/init/,166520.0,3.0,8267.0,new_3/8267.html
http://www.huffingtonpost.com/news/bridgegate/4/ads/zone/vertical/bignews/,166525.0,3.0,8268.0,new_3/8268.html
http://www.huffingtonpost.com/news/bridgegate/4/topnav/version/ads/zone/,166534.0,3.0,8278.0,new_3/8278.html
http://www.huffingtonpost.com/news/bridgegate/4/cookie/domain/ads/zone/,166530.0,3.0,8292.0,new_3/8292.html
http://www.huffingtonpost.com/news/bridgegate/4/websocket/enabled/ads/zone/,166542.0,3.0,8308.0,new_3/8308.html
http://www.huffingtonpost.com/news/bridgegate/4/websocket/url/ads/zone/,166531.0,3.0,8324.0,new_3/8324.html
http://www.huffingtonpost.com/news/bridgegate/4/websocket/init/ads/zone/,166534.0,3.0,8340.0,new_3/8340.html
http://www.huffingtonpost.com/news/bridgegate/4/vertical/bignews/ads/zone/,166540.0,3.0,8356.0,new_3/8356.html
http://www.huffingtonpost.com/news/bridgegate/5/front/quickread/ads/zone/,167522.0,3.0,8371.0,new_3/8371.html
http://www.huffingtonpost.com/news/bridgegate/5/front/bignews/ads/zone/,167517.0,3.0,8387.0,new_3/8387.html
http://www.huffingtonpost.com/news/bridgegate/5/bpage/threeup/ads/zone/,167517.0,3.0,8403.0,new_3/8403.html
http://www.huffingtonpost.com/news/bridgegate/5/topnav/load-start/ads/zone/,167528.0,3.0,8421.0,new_3/8421.html
http://www.huffingtonpost.com/news/bridgegate/5/topnav/loaded/ads/zone/,167516.0,3.0,8437.0,new_3/8437.html
http://www.huffingtonpost.com/news/bridgegate/5/content/update/ads/zone/,167273.0,3.0,8842.0,new_3/8842.html
http://www.huffingtonpost.com/news/bridgegate/5/ads/zone/front/quickread/,167276.0,3.0,8849.0,new_3/8849.html
http://www.huffingtonpost.com/news/bridgegate/5/ads/zone/front/bignews/,167269.0,3.0,8850.0,new_3/8850.html
http://www.huffingtonpost.com/news/bridgegate/5/ads/zone/bpage/threeup/,167270.0,3.0,8851.0,new_3/8851.html
http://www.huffingtonpost.com/news/bridgegate/5/ads/zone/huffpost.general,167276.0,3.0,8852.0,new_3/8852.html
http://www.huffingtonpost.com/news/bridgegate/5/ads/zone/us.hpmgother,167264.0,3.0,8854.0,new_3/8854.html
http://www.huffingtonpost.com/news/bridgegate/5/ads/zone/topnav/load-start/,167282.0,3.0,8855.0,new_3/8855.html
http://www.huffingtonpost.com/news/bridgegate/5/ads/zone/topnav/loaded/,167270.0,3.0,8856.0,new_3/8856.html
http://www.huffingtonpost.com/news/bridgegate/5/ads/zone/content/update/,167272.0,3.0,8857.0,new_3/8857.html
http://www.huffingtonpost.com/news/bridgegate/5/ads/zone/topnav/version/,167273.0,3.0,8858.0,new_3/8858.html
http://www.huffingtonpost.com/news/bridgegate/5/ads/zone/cookie/domain/,167269.0,3.0,8859.0,new_3/8859.html
http://www.huffingtonpost.com/news/bridgegate/5/ads/zone/websocket/enabled/,167281.0,3.0,8860.0,new_3/8860.html
http://www.huffingtonpost.com/news/bridgegate/5/ads/zone/websocket/url/,167270.0,3.0,8861.0,new_3/8861.html
http://www.huffingtonpost.com/news/bridgegate/5/ads/zone/websocket/init/,167273.0,3.0,8862.0,new_3/8862.html
http://www.huffingtonpost.com/news/bridgegate/5/ads/zone/vertical/bignews/,167278.0,3.0,8863.0,new_3/8863.html
http://www.huffingtonpost.com/news/bridgegate/5/topnav/version/ads/zone/,167272.0,3.0,8870.0,new_3/8870.html
http://www.huffingtonpost.com/news/bridgegate/5/cookie/domain/ads/zone/,167269.0,3.0,8886.0,new_3/8886.html
http://www.huffingtonpost.com/news/bridgegate/5/websocket/enabled/ads/zone/,167281.0,3.0,8902.0,new_3/8902.html
http://www.huffingtonpost.com/news/bridgegate/5/websocket/url/ads/zone/,167269.0,3.0,8918.0,new_3/8918.html
http://www.huffingtonpost.com/news/bridgegate/5/websocket/init/ads/zone/,167274.0,3.0,8934.0,new_3/8934.html
http://www.huffingtonpost.com/news/bridgegate/5/vertical/bignews/ads/zone/,167279.0,3.0,8950.0,new_3/8950.html
http://www.huffingtonpost.com/news/bridgegate/6/front/quickread/ads/zone/,165836.0,3.0,8966.0,new_3/8966.html
http://www.huffingtonpost.com/news/bridgegate/6/front/bignews/ads/zone/,165829.0,3.0,8982.0,new_3/8982.html
http://www.huffingtonpost.com/news/bridgegate/6/bpage/threeup/ads/zone/,165830.0,3.0,8995.0,new_3/8995.html
http://www.huffingtonpost.com/news/bridgegate/6/topnav/load-start/ads/zone/,165841.0,3.0,9011.0,new_3/9011.html
http://www.huffingtonpost.com/news/bridgegate/6/topnav/loaded/ads/zone/,165829.0,3.0,9027.0,new_3/9027.html
http://www.huffingtonpost.com/news/bridgegate/6/content/update/ads/zone/,166004.0,3.0,9311.0,new_3/9311.html
