,url,size,new,idx
14442,http://archive.northjersey.com/news/christie-acted-appropriately-with-sandy-debris-removal-federal-audit-shows-1.735731,104531,2.0,360.0
14168,http://archive.northjersey.com/news/christie-administration-may-have-violated-public-records-law-1.664573,106269,2.0,86.0
124170,http://archive.northjersey.com/news/christie-aide-i-didn-t-alert-bosses-about-gwb-traffic-jams-1.1053079,112170,7.0,1845.0
14001,http://archive.northjersey.com/news/christie-calls-on-former-u-s-attorney-rudy-giuliani-s-former-chief-of-staff-1.661377,116102,1.0,507.0
123718,http://archive.northjersey.com/news/christie-compares-coverage-of-gwb-and-clinton-email-scandals-says-media-bias-apparent-1.1340265,118197,7.0,1393.0
13667,http://archive.northjersey.com/news/christie-confronted-on-gwb-scandal-during-town-hall-meeting-1.746748,114320,1.0,173.0
14440,http://archive.northjersey.com/news/christie-defends-stronger-than-the-storm-1.748174,108682,2.0,358.0
14111,http://archive.northjersey.com/news/christie-fort-lee-mayor-describe-meeting-as-very-productive-1.705300,114037,2.0,29.0
13634,http://archive.northjersey.com/news/christie-gets-plenty-of-face-time-in-tv-interview-1.753257,104670,1.0,140.0
14197,http://archive.northjersey.com/news/christie-gwb-lane-closings-not-that-big-a-deal-1.665822,111311,2.0,115.0
13985,http://archive.northjersey.com/news/christie-gwb-scandal-names-of-18-served-with-subpoenas-1.699859,112736,1.0,491.0
123687,http://archive.northjersey.com/news/christie-law-firm-in-gwb-probe-fighting-subpoena-for-computer-data-1.1397666,118922,7.0,1362.0
123667,http://archive.northjersey.com/news/christie-law-firm-in-gwb-probe-under-fire-for-not-keeping-original-notes-of-interviews-with-public-officials-1.1415636,123758,7.0,1342.0
13787,http://archive.northjersey.com/news/christie-lawyer-randy-mastro-ends-ties-to-port-authority-toll-lawsuit-1.701847,113107,1.0,293.0
5613,http://archive.northjersey.com/news/christie-s-toll-money-shuffle-port-authority-funds-paying-for-repairs-to-state-roads-video-1.836409,134527,0.0,5613.0
123611,http://archive.northjersey.com/news/christie-says-gwb-scandal-helped-scuttle-chance-to-be-trump-s-running-mate-1.1660422,127366,7.0,1286.0
