,url,size,new,idx
0,https://pbs.twimg.com/profile_images/646777986528645120/TRMcntto_400x400.jpg,20851,2.0,0.0
1,"https://r5---sn-vgqsrn7l.googlevideo.com/videogoodput?id=o-AOEPwnfP3Zxbuqdk2naTj2pLfLgVphQF4zOKxrVLftWV&source=goodput&range=0-4999&expire=1484562647&ip=207.241.231.197&ms=pm&mm=35&pl=24&nh=IgpwZjAxLm9yZDM1Kg42Ni4yMDguMjI4LjIwMQ&sparams=id,source,range,expire,ip,ms,mm,pl,nh&signature=3EE14168CE68F91197287ECEB9844B66DE9E697B.5497527268206F38182D11D780E2F5CF384AA470&key=cms1",5367,2.0,1.0
2,http://dng.northjersey.com/media_server/tr/2014/01/gwbsubpoena/RIDLEYSUBPOENA.pdf,507305,2.0,2.0
3,http://www.northjersey.com/story/life/food/2017/01/09/6-chinese-cocktails-toast-new-near/96221466/,109658,2.0,3.0
4,http://www.huffingtonpost.com/t/a/sponsor/posts/__SPONSOR__/13789556/sleep--wellness/click,3797,2.0,4.0
5,https://twitter.com/govchristie/status/594209357002334208?lang=fr,273135,2.0,5.0
6,https://www.youtube.com/signin?action_handle_signin=true&feature=purchases&skip_identity_prompt=True&next=%2F,1336,2.0,6.0
7,https://mobile.twitter.com/govchristie/status/594209357002334208,2293,2.0,7.0
8,http://archive.northjersey.com/news/breaking-news-thousands-of-documents-released-in-christie-gwb-scandal-1.650827,146751,2.0,8.0
9,https://pbs.twimg.com/profile_banners/90484508/1452559016/1500x500,211325,2.0,9.0
10,http://www.gannett-cdn.com/-mm-/0eb8eb2fd87f8b665221b9316449b3986c767ec0/c=0-31-1022-608&r=x237&c=360x234/local/-/media/2017/01/15/Bergen/NorthJersey/636200978736163829-Acceus.jpg,18956,2.0,10.0
11,https://abs.twimg.com/emoji/v2/72x72/1f32e.png,1510,2.0,11.0
12,http://www.northjersey.com/story/life/food/2017/01/10/gluten-free-vegan-bakery-opens-cliffside-park/96200754/,109796,2.0,12.0
13,http://dng.northjersey.com/media_server/tr/2014/01/gwbsubpoena/EGEASUBPOENA.pdf,508911,2.0,13.0
14,http://elections.huffingtonpost.com/pollster/2016-iowa-presidential-democratic-caucus,115388,2.0,14.0
15,https://pbs.twimg.com/profile_images/646777986528645120/TRMcntto_normal.jpg,2215,2.0,15.0
16,http://archive.northjersey.com/news/nj-state-news/vulgarity-laced-emails-show-attempts-to-silence-gwb-story-1.668638,125881,2.0,16.0
